nodal_diameter,mode,frequency_Hz,omega_rad_per_s,eigenvalue
0,1,5203.48,32694.430,1.068926e+09
0,2,5203.48,32694.430,1.068926e+09
0,3,20676.07,129911.600,1.687701e+10
0,4,20676.07,129911.600,1.687701e+10
0,5,26017.02,163469.800,2.672237e+10
0,6,26017.02,163469.800,2.672237e+10
0,7,26017.02,163469.800,2.672237e+10
0,8,26017.02,163469.800,2.672237e+10
0,9,49616.20,311747.800,9.718668e+10
0,10,49616.20,311747.800,9.718668e+10
1,1,5219.73,32796.510,1.075611e+09
1,2,5219.73,32796.510,1.075611e+09
1,3,20720.55,130191.100,1.694971e+10
1,4,20720.55,130191.100,1.694971e+10
1,5,24270.82,152498.100,2.325566e+10
1,6,24270.82,152498.100,2.325566e+10
1,7,27835.46,174895.400,3.058839e+10
1,8,27835.46,174895.400,3.058839e+10
1,9,49668.26,312074.900,9.739074e+10
1,10,49668.26,312074.900,9.739074e+10
2,1,5274.31,33139.470,1.098224e+09
2,2,5274.31,33139.470,1.098224e+09
2,3,20854.76,131034.300,1.717000e+10
2,4,20854.76,131034.300,1.717000e+10
2,5,22595.68,141972.800,2.015628e+10
2,6,22595.68,141972.800,2.015628e+10
2,7,29727.61,186784.100,3.488830e+10
2,8,29727.61,186784.100,3.488830e+10
2,9,47163.64,296337.900,8.781614e+10
2,10,47163.64,296337.900,8.781614e+10
3,1,5378.57,33794.560,1.142072e+09
3,2,5378.57,33794.560,1.142072e+09
3,3,20990.76,131888.800,1.739466e+10
3,4,20990.76,131888.800,1.739466e+10
3,5,21080.59,132453.300,1.754387e+10
3,6,21080.59,132453.300,1.754387e+10
3,7,31695.21,199146.900,3.965948e+10
3,8,31695.21,199146.900,3.965948e+10
3,9,44654.97,280575.400,7.872257e+10
3,10,44654.97,280575.400,7.872257e+10
4,1,5542.61,34825.220,1.212796e+09
4,2,5542.61,34825.220,1.212796e+09
4,3,19455.62,122243.200,1.494341e+10
4,4,19455.62,122243.200,1.494341e+10
4,5,21400.67,134464.400,1.808067e+10
4,6,21400.67,134464.400,1.808067e+10
4,7,33740.23,211996.100,4.494234e+10
4,8,33740.23,211996.100,4.494234e+10
4,9,42268.09,265578.300,7.053181e+10
4,10,42268.09,265578.300,7.053181e+10
5,1,5774.99,36285.320,1.316624e+09
5,2,5774.99,36285.320,1.316624e+09
5,3,17990.25,113036.100,1.277715e+10
5,4,17990.25,113036.100,1.277715e+10
5,5,21818.27,137088.200,1.879319e+10
5,6,21818.27,137088.200,1.879319e+10
5,7,35864.83,225345.300,5.078053e+10
5,8,35864.83,225345.300,5.078053e+10
5,9,40005.93,251364.700,6.318421e+10
5,10,40005.93,251364.700,6.318421e+10
6,1,6083.57,38224.220,1.461091e+09
6,2,6083.57,38224.220,1.461091e+09
6,3,16595.14,104270.300,1.087230e+10
6,4,16595.14,104270.300,1.087230e+10
6,5,22337.24,140349.000,1.969785e+10
6,6,22337.24,140349.000,1.969785e+10
6,7,37871.16,237951.500,5.662091e+10
6,8,37871.16,237951.500,5.662091e+10
6,9,38071.37,239209.400,5.722116e+10
6,10,38071.37,239209.400,5.722116e+10
7,1,6475.26,40685.270,1.655291e+09
7,2,6475.26,40685.270,1.655291e+09
7,3,15271.30,95952.420,9.206867e+09
7,4,15271.30,95952.420,9.206867e+09
7,5,22961.82,144273.400,2.081480e+10
7,6,22961.82,144273.400,2.081480e+10
7,7,35866.02,225352.900,5.078391e+10
7,8,35866.02,225352.900,5.078391e+10
7,9,40362.36,253604.200,6.431507e+10
7,10,40362.36,253604.200,6.431507e+10
8,1,6955.33,43701.650,1.909834e+09
8,2,6955.33,43701.650,1.909834e+09
8,3,14020.32,88092.270,7.760249e+09
8,4,14020.32,88092.270,7.760249e+09
8,5,23696.45,148889.200,2.216798e+10
8,6,23696.45,148889.200,2.216798e+10
8,7,33992.25,213579.600,4.561626e+10
8,8,33992.25,213579.600,4.561626e+10
8,9,42740.45,268546.100,7.211703e+10
8,10,42740.45,268546.100,7.211703e+10
9,1,7527.02,47293.650,2.236690e+09
9,2,7527.02,47293.650,2.236690e+09
9,3,12844.32,80703.270,6.513017e+09
9,4,12844.32,80703.270,6.513017e+09
9,5,24545.56,154224.300,2.378513e+10
9,6,24545.56,154224.300,2.378513e+10
9,7,32250.91,202638.400,4.106233e+10
9,8,32250.91,202638.400,4.106233e+10
9,9,45208.40,284052.700,8.068595e+10
9,10,45208.40,284052.700,8.068595e+10
10,1,8191.45,51468.380,2.648994e+09
10,2,8191.45,51468.380,2.648994e+09
10,3,11745.95,73801.990,5.446733e+09
10,4,11745.95,73801.990,5.446733e+09
10,5,25513.41,160305.500,2.569785e+10
10,6,25513.41,160305.500,2.569785e+10
10,7,30642.29,192531.200,3.706826e+10
10,8,30642.29,192531.200,3.706826e+10
10,9,47769.05,300141.800,9.008508e+10
10,10,47769.05,300141.800,9.008508e+10
11,1,8947.95,56221.600,3.160868e+09
11,2,8947.95,56221.600,3.160868e+09
11,3,10728.25,67407.580,4.543782e+09
11,4,10728.25,67407.580,4.543782e+09
11,5,26603.92,167157.300,2.794158e+10
11,6,26603.92,167157.300,2.794158e+10
11,7,29165.92,183254.900,3.358234e+10
11,8,29165.92,183254.900,3.358234e+10
11,9,50425.28,316831.400,1.003821e+11
11,10,50425.28,316831.400,1.003821e+11
12,1,9794.50,61540.650,3.787251e+09
12,2,9794.50,61540.650,3.787251e+09
12,3,9794.50,61540.650,3.787251e+09
12,4,9794.50,61540.650,3.787251e+09
12,5,27820.49,174801.300,3.055548e+10
12,6,27820.49,174801.300,3.055548e+10
12,7,27820.49,174801.300,3.055548e+10
12,8,27820.49,174801.300,3.055548e+10
12,9,53179.96,334139.600,1.116492e+11
12,10,53179.96,334139.600,1.116492e+11
